year_week,week_start,total_users,new_users,returning_users,sessions,engagement_rate,avg_session_duration_sec,pageviews
202519,2025-05-04,10694,9361,1333,11967,0.5256,156.4,19617
202520,2025-05-11,46370,41830,4540,51093,0.537,151.9,88099
202521,2025-05-18,44743,41039,3704,51568,0.5404,153.4,84574
202522,2025-05-25,43625,39645,3980,51312,0.5362,150.7,83200
202523,2025-06-01,43467,39291,4176,50025,0.5315,147.3,80815
202524,2025-06-08,41059,36777,4282,47443,0.5732,165.2,78817
202525,2025-06-15,39941,35819,4122,45786,0.5777,162.1,75927
202526,2025-06-22,44078,39587,4491,50973,0.5588,152.0,80245
202527,2025-06-29,47040,43316,3724,54019,0.5002,144.9,86148
202528,2025-07-06,40272,36612,3660,47103,0.5411,168.2,77680
202529,2025-07-13,38101,34598,3503,44086,0.5938,158.8,74359
202530,2025-07-20,42019,38676,3343,49751,0.5262,150.6,78134
202531,2025-07-27,37475,33870,3605,44410,0.5688,167.1,75205
202532,2025-08-03,42369,38870,3499,48962,0.5,141.2,75487
202533,2025-08-10,39532,35687,3845,44762,0.5393,140.2,70413
202534,2025-08-17,36062,32107,3955,42135,0.5839,167.9,70359
202535,2025-08-24,35635,31946,3689,40915,0.5865,167.4,68766
202536,2025-08-31,36611,32755,3856,43599,0.5647,164.9,72363
202537,2025-09-07,41980,38432,3548,49685,0.5437,146.5,78756
202538,2025-09-14,38467,34664,3803,45517,0.5812,160.4,74121
202539,2025-09-21,43783,40516,3267,50593,0.4863,145.6,77901
202540,2025-09-28,39489,36482,3007,46023,0.5039,125.9,65669
202541,2025-10-05,42020,38936,3084,48764,0.4823,141.0,73371
202542,2025-10-12,36538,33518,3020,42977,0.5488,146.0,65215
202543,2025-10-19,37588,34237,3351,43384,0.5331,137.7,64142
202544,2025-10-26,41341,38185,3156,48010,0.5029,144.9,71422
202545,2025-11-02,40153,36836,3317,45613,0.5122,143.5,70843
202546,2025-11-09,33436,30784,2652,41451,0.556,167.2,65586
202547,2025-11-16,30672,27648,3024,36605,0.5889,164.1,57523
202548,2025-11-23,28990,26505,2485,32949,0.5673,142.5,51692
202549,2025-11-30,41787,38952,2835,48091,0.3927,114.1,67618
202550,2025-12-07,33966,31511,2455,38512,0.4958,139.7,60563
202551,2025-12-14,41758,38868,2890,47960,0.4447,118.4,67064
202552,2025-12-21,51689,48958,2731,55094,0.2922,81.0,71190
202553,2025-12-28,21027,19297,1730,23645,0.4735,129.8,35092
202601,2025-12-28,20089,18934,1155,21398,0.413,115.2,30757
202602,2026-01-04,59630,55800,3830,66788,0.446,120.6,101910
202603,2026-01-11,50639,46622,4017,56118,0.526,113.5,80906
202604,2026-01-18,60814,56020,4794,65492,0.4576,117.6,95632
202605,2026-01-25,52600,49043,3557,60562,0.4944,118.8,84706
202606,2026-02-01,60237,56123,4114,68728,0.4292,111.8,94904
202607,2026-02-08,79355,73743,5612,85562,0.3346,87.8,109642
202608,2026-02-15,60363,56368,3995,65618,0.4123,100.4,87769
202609,2026-02-22,70068,65808,4260,78934,0.37,89.5,101006
202610,2026-03-01,86286,81168,5118,93298,0.2956,73.0,115776
202611,2026-03-08,136186,129646,6540,142804,0.1977,48.6,165012
202612,2026-03-15,96169,90782,5387,100026,0.2719,62.4,122737
202613,2026-03-22,49759,45463,4296,55821,0.4692,114.7,78204
202614,2026-03-29,41984,38317,3667,48008,0.4915,125.6,70073
202615,2026-04-05,43106,39403,3703,47992,0.4717,129.3,71749
202616,2026-04-12,43621,39707,3914,49095,0.4903,127.1,71090
202617,2026-04-19,44658,41520,3138,50293,0.5066,123.9,75437
202618,2026-04-26,32941,30350,2591,37219,0.5163,127.8,57704
202619,2026-05-03,18526,16812,1714,22269,0.5057,143.9,37271
